dens_simple	dens_nodes	dens_edges	retweets_tweetschecked	retweets_retweeted	totalretweets	tweetsretweeted
352661	62184714130	4.69E-06	0.067605634	2	24	12
37084	687592986	3.20E-05	0.039370079	1.363636364	15	11
10631	56503765	0.000103613	0.212121212	1	7	7
184158	16956992403	6.97E-06	0.134482759	1.344827586	39	29
39192	767986836	2.74E-05	0.061046512	1.235294118	21	17
90366	4082961795	1.62E-05	0.04973822	1	19	19
33520	561778440	4.00E-05	0.043062201	1.125	9	8
72123	2600827503	1.71E-05	0.233333333	1.96	49	25
112070	6279786415	9.40E-06	0.071038251	1.181818182	26	22
72069	2596934346	1.70E-05	0.173553719	1.5	63	42
132497	8777661256	9.19E-06	0.080779944	1	29	29
368389	67855043466	5.16E-06	0.044117647	1.153846154	15	13
358200	64153440900	6.25E-06	0.07277628	1.227272727	27	22
118854	7063077231	1.11E-05	0.048951049	1.076923077	14	13
109982	6047965171	1.10E-05	0.212121212	2.258064516	70	31
15244	116182146	7.50E-05	0.125	1.25	5	4
382357	73098246546	4.03E-06	0.062091503	1.117647059	19	17
15273	116624628	7.03E-05	0.033707865	1	3	3
106877	5711293126	1.03E-05	0.005	1	1	1
28279	399836781	3.72E-05	0.179487179	1.4	7	5
18366	168645795	5.84E-05	0.054913295	1	19	19
666690	2.22E+11	2.86E-06	0.085626911	1.555555556	28	18
205417	21097969236	5.21E-06	0.021857923	1.142857143	8	7
26943	362949153	3.87E-05	0.051792829	1.083333333	13	12
19385	187879420	6.16E-05	0.114441417	1.35483871	42	31
561100	1.57E+11	3.19E-06	0.086253369	1.6	32	20
58650	1719881925	1.75E-05	0.02310231	1	7	7
258252	33346918626	5.14E-06	0.102564103	1.28	32	25
106247	5644159381	1.04E-05	0.235457064	2.361111111	85	36
32300	521628850	3.22E-05	0.035460993	1.25	5	4
67585	2283832320	1.63E-05	0.045454545	1	9	9
