ones	overlaps	cumulative	count
1	0	0	1
1	0	0	2
1	0	0	3
1	0	0	4
1	0	0	5
1	0	0	6
1	0	0	7
1	0.003003	0.003003	8
1	0.003521	0.006524	9
1	0.003766	0.01029	10
1	0.003937	0.014227	11
1	0.003943	0.01817	12
1	0.004796	0.022966	13
1	0.006329	0.029295	14
1	0.012245	0.04154	15
1	0.012563	0.054103	16
1	0.012658	0.066761	17
1	0.014286	0.081047	18
1	0.018561	0.099608	19
1	0.018561	0.118169	20
1	0.018561	0.13673	21
1	0.021212	0.157942	22
1	0.024242	0.182184	23
1	0.025478	0.207662	24
1	0.031532	0.239194	25
1	0.032928	0.272122	26
1	0.039497	0.311619	27
1	0.04186	0.353479	28
1	0.04661	0.400089	29
1	0.046875	0.446964	30
1	0.051948	0.498912	31
1	0.062222	0.561134	32
1	0.074286	0.63542	33
1	0.076389	0.711809	34
1	0.080402	0.792211	35
1	0.090186	0.882397	36
1	0.09119	0.973587	37
1	0.095238	1.068825	38
1	0.099432	1.168257	39
1	0.114754	1.283011	40
1	0.114754	1.397765	41
1	0.114754	1.512519	42
1	0.116737	1.629256	43
1	0.118577	1.747833	44
1	0.121875	1.869708	45
1	0.12381	1.993518	46
1	0.12381	2.117328	47
1	0.15812	2.275448	48
1	0.16129	2.436738	49
1	0.174538	2.611276	50
1	0.185065	2.796341	51
1	0.19685	2.993191	52
1	0.213043	3.206234	53
1	0.216867	3.423101	54
1	0.219512	3.642613	55
1	0.219512	3.862125	56
1	0.229592	4.091717	57
1	0.229752	4.321469	58
1	0.340625	4.662094	59
1	0.341969	5.004063	60
1	0.344	5.348063	61
1	0.382979	5.731042	62
1	0.409326	6.140368	63
1	0.429668	6.570036	64
1	0.467125	7.037161	65
1	0.537383	7.574544	66
1	0.555556	8.1301	67
1	0.685714	8.815814	68
